frontend_api_id,module,exported_function,http_method,url_expression,normalized_path,source,contract_status
FEAPI-0014,approval/monitor,listLegacyApprovalTemplates,GET,`${BASE_URL}/legacy/templates`,/approval/legacy/templates,erp-ui/src/api/approval/monitor.js:14,待与后端/OpenAPI 核验
FEAPI-0015,approval/monitor,listLegacyApprovalInstances,GET,`${BASE_URL}/legacy/instances`,/approval/legacy/instances,erp-ui/src/api/approval/monitor.js:18,待与后端/OpenAPI 核验
FEAPI-0016,approval/monitor,getLegacyApprovalInstance,GET,`${BASE_URL}/legacy/instances/${encodeURIComponent(businessCode)}/${legacyInstanceId}`,/approval/legacy/instances/{businessCode}/{legacyInstanceId},erp-ui/src/api/approval/monitor.js:23,待与后端/OpenAPI 核验
FEAPI-0017,approval/monitor,terminateApprovalInstance,POST,`${BASE_URL}/instances/${instanceId}/terminate`,/approval/instances/{instanceId}/terminate,erp-ui/src/api/approval/monitor.js:29,待与后端/OpenAPI 核验
FEAPI-0018,approval/monitor,reassignApprovalTask,POST,`${BASE_URL}/tasks/${taskId}/reassign`,/approval/tasks/{taskId}/reassign,erp-ui/src/api/approval/monitor.js:33,待与后端/OpenAPI 核验
FEAPI-0019,approval/monitor,replayApprovalCallback,POST,`${BASE_URL}/callbacks/${outboxId}/replay`,/approval/callbacks/{outboxId}/replay,erp-ui/src/api/approval/monitor.js:37,待与后端/OpenAPI 核验
FEAPI-0020,approval/task,unknown,POST,`${BASE_URL}/${taskId}/${action}`,/approval/tasks/{taskId}/{action},erp-ui/src/api/approval/task.js:7,待与后端/OpenAPI 核验
FEAPI-0021,approval/validation,listApprovalValidationRuns,GET,`${BASE_URL}/runs`,/approval/validation/runs,erp-ui/src/api/approval/validation.js:6,待与后端/OpenAPI 核验
FEAPI-0022,approval/validation,getApprovalValidationRun,GET,`${BASE_URL}/runs/${runId}`,/approval/validation/runs/{runId},erp-ui/src/api/approval/validation.js:10,待与后端/OpenAPI 核验
FEAPI-0023,approval/validation,runApprovalValidation,POST,`${BASE_URL}/run`,/approval/validation/run,erp-ui/src/api/approval/validation.js:14,待与后端/OpenAPI 核验
FEAPI-0024,drive/admin,getDriveAdminStatus,GET,base + '/status',/file/drive/admin/status,erp-ui/src/api/drive/admin.js:6,待与后端/OpenAPI 核验
FEAPI-0025,drive/admin,getDriveQuotaOverview,GET,base + '/quota/overview',/file/drive/admin/quota/overview,erp-ui/src/api/drive/admin.js:10,待与后端/OpenAPI 核验
FEAPI-0026,drive/admin,getDriveCapacity,GET,base + '/quota/capacity',/file/drive/admin/quota/capacity,erp-ui/src/api/drive/admin.js:14,待与后端/OpenAPI 核验
FEAPI-0027,drive/admin,updateDriveCapacity,PUT,base + '/quota/capacity',/file/drive/admin/quota/capacity,erp-ui/src/api/drive/admin.js:18,待与后端/OpenAPI 核验
FEAPI-0028,drive/admin,listDrivePersonalPolicies,GET,base + '/quota/personal-policies',/file/drive/admin/quota/personal-policies,erp-ui/src/api/drive/admin.js:22,待与后端/OpenAPI 核验
FEAPI-0029,drive/admin,listDriveQuotaPosts,GET,base + '/quota/posts',/file/drive/admin/quota/posts,erp-ui/src/api/drive/admin.js:26,待与后端/OpenAPI 核验
FEAPI-0030,drive/admin,listDriveOrganizationTypeRules,GET,base + '/organizations/type-rules',/file/drive/admin/organizations/type-rules,erp-ui/src/api/drive/admin.js:30,待与后端/OpenAPI 核验
FEAPI-0031,drive/admin,saveDriveOrganizationTypeRule,PUT,base + '/organizations/type-rules/' + encodeURIComponent(deptType),/file/drive/admin/organizations/type-rules/{deptType},erp-ui/src/api/drive/admin.js:35,待与后端/OpenAPI 核验
FEAPI-0032,drive/admin,saveDrivePersonalPolicy,PUT,base + '/quota/personal-policies/' + encodeURIComponent(subjectType) + '/' + subjectId,/file/drive/admin/quota/personal-policies/{subjectType}/{subjectId},erp-ui/src/api/drive/admin.js:44,待与后端/OpenAPI 核验
FEAPI-0033,drive/admin,deleteDrivePersonalPolicy,DELETE,base + '/quota/personal-policies/' + encodeURIComponent(subjectType) + '/' + subjectId,/file/drive/admin/quota/personal-policies/{subjectType}/{subjectId},erp-ui/src/api/drive/admin.js:53,待与后端/OpenAPI 核验
FEAPI-0034,drive/admin,listDriveQuotaUsers,GET,base + '/quota/users',/file/drive/admin/quota/users,erp-ui/src/api/drive/admin.js:61,待与后端/OpenAPI 核验
FEAPI-0035,drive/admin,listDriveOrganizations,GET,base + '/organizations',/file/drive/admin/organizations,erp-ui/src/api/drive/admin.js:65,待与后端/OpenAPI 核验
FEAPI-0036,drive/admin,saveDriveOrganization,PUT,base + '/organizations/' + deptId,/file/drive/admin/organizations/{deptId},erp-ui/src/api/drive/admin.js:70,待与后端/OpenAPI 核验
FEAPI-0037,drive/admin,saveDriveOrganizationsBatch,POST,base + '/organizations/batch',/file/drive/admin/organizations/batch,erp-ui/src/api/drive/admin.js:78,待与后端/OpenAPI 核验
FEAPI-0038,drive/admin,previewDriveQuotaImpact,POST,base + '/quota/impact',/file/drive/admin/quota/impact,erp-ui/src/api/drive/admin.js:82,待与后端/OpenAPI 核验
FEAPI-0039,drive/admin,reconcileDriveOrganizations,POST,base + '/organizations/reconcile',/file/drive/admin/organizations/reconcile,erp-ui/src/api/drive/admin.js:86,待与后端/OpenAPI 核验
FEAPI-0040,drive/index,listDriveSpaces,GET,'/file/drive/spaces',/file/drive/spaces,erp-ui/src/api/drive/index.js:5,待与后端/OpenAPI 核验
FEAPI-0041,drive/index,listDriveNodes,GET,'/file/drive/nodes',/file/drive/nodes,erp-ui/src/api/drive/index.js:13,待与后端/OpenAPI 核验
FEAPI-0042,drive/index,getDriveNode,GET,'/file/drive/nodes/' + nodeId,/file/drive/nodes/{nodeId},erp-ui/src/api/drive/index.js:22,待与后端/OpenAPI 核验
FEAPI-0043,drive/index,createDriveFolder,POST,'/file/drive/folders',/file/drive/folders,erp-ui/src/api/drive/index.js:30,待与后端/OpenAPI 核验
FEAPI-0044,drive/index,uploadDriveFile,POST,'/file/drive/files',/file/drive/files,erp-ui/src/api/drive/index.js:43,待与后端/OpenAPI 核验
FEAPI-0045,drive/index,renameDriveNode,PUT,'/file/drive/nodes/' + nodeId + '/name',/file/drive/nodes/{nodeId}/name,erp-ui/src/api/drive/index.js:56,待与后端/OpenAPI 核验
FEAPI-0046,drive/index,moveDriveNode,PUT,'/file/drive/nodes/' + nodeId + '/move',/file/drive/nodes/{nodeId}/move,erp-ui/src/api/drive/index.js:65,待与后端/OpenAPI 核验
FEAPI-0047,drive/index,trashDriveNode,DELETE,'/file/drive/nodes/' + nodeId,/file/drive/nodes/{nodeId},erp-ui/src/api/drive/index.js:74,待与后端/OpenAPI 核验
FEAPI-0048,drive/index,listRecentDriveNodes,GET,'/file/drive/recent',/file/drive/recent,erp-ui/src/api/drive/index.js:83,待与后端/OpenAPI 核验
FEAPI-0049,drive/index,listDriveTrash,GET,'/file/drive/trash',/file/drive/trash,erp-ui/src/api/drive/index.js:92,待与后端/OpenAPI 核验
FEAPI-0050,drive/index,restoreDriveNode,POST,'/file/drive/trash/' + nodeId + '/restore',/file/drive/trash/{nodeId}/restore,erp-ui/src/api/drive/index.js:101,待与后端/OpenAPI 核验
FEAPI-0051,drive/index,purgeDriveNode,DELETE,'/file/drive/trash/' + nodeId,/file/drive/trash/{nodeId},erp-ui/src/api/drive/index.js:109,待与后端/OpenAPI 核验
FEAPI-0052,drive/index,emptyDriveTrash,DELETE,'/file/drive/trash',/file/drive/trash,erp-ui/src/api/drive/index.js:117,待与后端/OpenAPI 核验
FEAPI-0053,drive/index,getDriveContent,GET,'/file/drive/nodes/' + nodeId + '/content',/file/drive/nodes/{nodeId}/content,erp-ui/src/api/drive/index.js:126,待与后端/OpenAPI 核验
FEAPI-0054,drive/index,updateDriveQuota,PUT,'/file/drive/spaces/' + spaceId + '/quota',/file/drive/spaces/{spaceId}/quota,erp-ui/src/api/drive/index.js:137,待与后端/OpenAPI 核验
FEAPI-0055,hr/completeness,getHrCompletenessSummary,GET,"""/system/hr/completeness/summary""",/system/hr/completeness/summary,erp-ui/src/api/hr/completeness.js:4,待与后端/OpenAPI 核验
FEAPI-0056,hr/completeness,listHrCompletenessEmployees,GET,"""/system/hr/completeness/employees""",/system/hr/completeness/employees,erp-ui/src/api/hr/completeness.js:10,待与后端/OpenAPI 核验
FEAPI-0057,hr/completeness,getHrCompletenessDepartments,GET,"""/system/hr/completeness/departments""",/system/hr/completeness/departments,erp-ui/src/api/hr/completeness.js:16,待与后端/OpenAPI 核验
FEAPI-0058,hr/completeness,getHrMasterDataSummary,GET,"""/system/hr/completeness/master-data/summary""",/system/hr/completeness/master-data/summary,erp-ui/src/api/hr/completeness.js:22,待与后端/OpenAPI 核验
FEAPI-0059,hr/completeness,listHrMasterDataIssues,GET,"""/system/hr/completeness/master-data/issues""",/system/hr/completeness/master-data/issues,erp-ui/src/api/hr/completeness.js:28,待与后端/OpenAPI 核验
FEAPI-0060,hr/completeness,getHrMasterDataIssueCodes,GET,"""/system/hr/completeness/master-data/codes""",/system/hr/completeness/master-data/codes,erp-ui/src/api/hr/completeness.js:34,待与后端/OpenAPI 核验
FEAPI-0061,hr/employee,listHrEmployees,GET,"""/system/hr/employee/list""",/system/hr/employee/list,erp-ui/src/api/hr/employee.js:6,待与后端/OpenAPI 核验
FEAPI-0062,hr/employee,getHrEmployeeSummary,GET,"""/system/hr/employee/summary""",/system/hr/employee/summary,erp-ui/src/api/hr/employee.js:12,待与后端/OpenAPI 核验
FEAPI-0063,hr/employee,getHrEmployeeFormOptions,GET,"""/system/hr/employee/form-options""",/system/hr/employee/form-options,erp-ui/src/api/hr/employee.js:18,待与后端/OpenAPI 核验
FEAPI-0064,hr/employee,getHrEmployee,GET,`/system/hr/employee/${userId}`,/system/hr/employee/{userId},erp-ui/src/api/hr/employee.js:23,待与后端/OpenAPI 核验
FEAPI-0065,hr/employee,initializeHrEmployeeProfile,POST,`/system/hr/employee/${userId}/profile/initialize`,/system/hr/employee/{userId}/profile/initialize,erp-ui/src/api/hr/employee.js:28,待与后端/OpenAPI 核验
FEAPI-0066,hr/employee,getHrTransferBusinessDate,GET,"""/system/hr/employee/transfer/business-date""",/system/hr/employee/transfer/business-date,erp-ui/src/api/hr/employee.js:34,待与后端/OpenAPI 核验
FEAPI-0067,hr/employee,confirmHrEmployeeTransfer,POST,`/system/hr/employee/${userId}/transfer`,/system/hr/employee/{userId}/transfer,erp-ui/src/api/hr/employee.js:39,待与后端/OpenAPI 核验
FEAPI-0068,hr/employee,getHrOffboardingBusinessDate,GET,"""/system/hr/employee/offboard/business-date""",/system/hr/employee/offboard/business-date,erp-ui/src/api/hr/employee.js:46,待与后端/OpenAPI 核验
FEAPI-0069,hr/employee,confirmHrEmployeeOffboarding,POST,`/system/hr/employee/${userId}/offboard`,/system/hr/employee/{userId}/offboard,erp-ui/src/api/hr/employee.js:51,待与后端/OpenAPI 核验
FEAPI-0070,hr/employee,updateHrEmployee,PATCH,`/system/hr/employee/${userId}`,/system/hr/employee/{userId},erp-ui/src/api/hr/employee.js:61,待与后端/OpenAPI 核验
FEAPI-0071,hr/employee,previewHrEmployeeDerived,POST,"""/system/hr/employee/derived-preview""",/system/hr/employee/derived-preview,erp-ui/src/api/hr/employee.js:69,待与后端/OpenAPI 核验
FEAPI-0072,hr/employee,revealHrEmployeeSensitiveField,POST,`/system/hr/employee/${userId}/sensitive/reveal`,/system/hr/employee/{userId}/sensitive/reveal,erp-ui/src/api/hr/employee.js:76,待与后端/OpenAPI 核验
FEAPI-0073,hr/employee,exportHrEmployeeSensitive,POST,"""/system/hr/employee/export-sensitive""",/system/hr/employee/export-sensitive,erp-ui/src/api/hr/employee.js:83,待与后端/OpenAPI 核验
FEAPI-0074,hr/healthCertificate,getHealthCertificateCapability,GET,'/system/hr/health-certificate/capability',/system/hr/health-certificate/capability,erp-ui/src/api/hr/healthCertificate.js:4,待与后端/OpenAPI 核验
FEAPI-0075,hr/healthCertificate,getMyHealthCertificates,GET,'/system/hr/health-certificate/me',/system/hr/health-certificate/me,erp-ui/src/api/hr/healthCertificate.js:8,待与后端/OpenAPI 核验
FEAPI-0076,hr/healthCertificate,saveMyHealthCertificateDraft,POST,'/system/hr/health-certificate/me/draft',/system/hr/health-certificate/me/draft,erp-ui/src/api/hr/healthCertificate.js:12,待与后端/OpenAPI 核验
FEAPI-0077,hr/healthCertificate,submitMyHealthCertificate,POST,'/system/hr/health-certificate/me/submit',/system/hr/health-certificate/me/submit,erp-ui/src/api/hr/healthCertificate.js:16,待与后端/OpenAPI 核验
FEAPI-0078,hr/healthCertificate,withdrawMyHealthCertificate,POST,`/system/hr/health-certificate/me/${certificateId}/withdraw`,/system/hr/health-certificate/me/{certificateId}/withdraw,erp-ui/src/api/hr/healthCertificate.js:20,待与后端/OpenAPI 核验
FEAPI-0079,hr/healthCertificate,listHealthCertificates,GET,'/system/hr/health-certificate/list',/system/hr/health-certificate/list,erp-ui/src/api/hr/healthCertificate.js:24,待与后端/OpenAPI 核验
FEAPI-0080,hr/healthCertificate,getHealthCertificateOpsSummary,GET,'/system/hr/health-certificate/ops-summary',/system/hr/health-certificate/ops-summary,erp-ui/src/api/hr/healthCertificate.js:28,待与后端/OpenAPI 核验
FEAPI-0081,hr/healthCertificate,getEmployeeHealthCertificates,GET,`/system/hr/health-certificate/employee/${userId}`,/system/hr/health-certificate/employee/{userId},erp-ui/src/api/hr/healthCertificate.js:32,待与后端/OpenAPI 核验
FEAPI-0082,hr/healthCertificate,reviewHealthCertificate,POST,`/system/hr/health-certificate/${certificateId}/review`,/system/hr/health-certificate/{certificateId}/review,erp-ui/src/api/hr/healthCertificate.js:36,待与后端/OpenAPI 核验
FEAPI-0083,hr/healthCertificate,getHealthCertificateAttachment,GET,`/system/hr/health-certificate/${certificateId}/attachment`,/system/hr/health-certificate/{certificateId}/attachment,erp-ui/src/api/hr/healthCertificate.js:40,待与后端/OpenAPI 核验
FEAPI-0084,hr/legacyEmployeeImport,LEGACY_HR_EMPLOYEE_IMPORT_ACTION,POST,/system/hr/employee/importData,/system/hr/employee/importData,erp-ui/src/api/hr/legacyEmployeeImport.js:1,间接 action，已定位唯一后端方法候选
FEAPI-0085,hr/legacyEmployeeImport,LEGACY_HR_EMPLOYEE_IMPORT_TEMPLATE_ACTION,POST,/system/hr/employee/importTemplate,/system/hr/employee/importTemplate,erp-ui/src/api/hr/legacyEmployeeImport.js:2,间接 action，已定位唯一后端方法候选
FEAPI-0086,hr/onboarding,listHrOnboarding,GET,"""/system/hr/onboarding/list""",/system/hr/onboarding/list,erp-ui/src/api/hr/onboarding.js:3,待与后端/OpenAPI 核验
FEAPI-0087,hr/onboarding,getHrOnboardingSummary,GET,"""/system/hr/onboarding/summary""",/system/hr/onboarding/summary,erp-ui/src/api/hr/onboarding.js:4,待与后端/OpenAPI 核验
FEAPI-0088,hr/onboarding,getHrOnboarding,GET,`/system/hr/onboarding/${id}`,/system/hr/onboarding/{id},erp-ui/src/api/hr/onboarding.js:5,待与后端/OpenAPI 核验
FEAPI-0089,hr/onboarding,createHrOnboarding,POST,"""/system/hr/onboarding""",/system/hr/onboarding,erp-ui/src/api/hr/onboarding.js:6,待与后端/OpenAPI 核验
FEAPI-0090,hr/onboarding,updateHrOnboarding,PUT,`/system/hr/onboarding/${id}`,/system/hr/onboarding/{id},erp-ui/src/api/hr/onboarding.js:7,待与后端/OpenAPI 核验
FEAPI-0091,hr/onboarding,markHrOnboardingReady,POST,`/system/hr/onboarding/${id}/ready`,/system/hr/onboarding/{id}/ready,erp-ui/src/api/hr/onboarding.js:8,待与后端/OpenAPI 核验
FEAPI-0092,hr/onboarding,returnHrOnboardingToDraft,POST,`/system/hr/onboarding/${id}/return-to-draft`,/system/hr/onboarding/{id}/return-to-draft,erp-ui/src/api/hr/onboarding.js:9,待与后端/OpenAPI 核验
FEAPI-0093,hr/onboarding,getHrOnboardingConflicts,GET,`/system/hr/onboarding/${id}/conflicts`,/system/hr/onboarding/{id}/conflicts,erp-ui/src/api/hr/onboarding.js:10,待与后端/OpenAPI 核验
FEAPI-0094,hr/onboarding,confirmHrOnboarding,POST,`/system/hr/onboarding/${id}/confirm`,/system/hr/onboarding/{id}/confirm,erp-ui/src/api/hr/onboarding.js:11,待与后端/OpenAPI 核验
FEAPI-0095,hr/onboarding,cancelHrOnboarding,POST,`/system/hr/onboarding/${id}/cancel`,/system/hr/onboarding/{id}/cancel,erp-ui/src/api/hr/onboarding.js:12,待与后端/OpenAPI 核验
FEAPI-0096,hr/onboarding,restoreHrOnboarding,POST,`/system/hr/onboarding/${id}/restore`,/system/hr/onboarding/{id}/restore,erp-ui/src/api/hr/onboarding.js:13,待与后端/OpenAPI 核验
FEAPI-0097,hr/onboarding,getHrOnboardingFormOptions,GET,"""/system/hr/onboarding/form-options""",/system/hr/onboarding/form-options,erp-ui/src/api/hr/onboarding.js:14,待与后端/OpenAPI 核验
FEAPI-0098,hr/onboarding,listHrOnboardingPositionConfigs,GET,"""/system/hr/onboarding/config/list""",/system/hr/onboarding/config/list,erp-ui/src/api/hr/onboarding.js:15,待与后端/OpenAPI 核验
FEAPI-0099,hr/onboarding,getHrOnboardingPositionConfig,GET,`/system/hr/onboarding/config/${id}`,/system/hr/onboarding/config/{id},erp-ui/src/api/hr/onboarding.js:16,待与后端/OpenAPI 核验
FEAPI-0100,hr/onboarding,createHrOnboardingPositionConfig,POST,"""/system/hr/onboarding/config""",/system/hr/onboarding/config,erp-ui/src/api/hr/onboarding.js:17,待与后端/OpenAPI 核验
FEAPI-0101,hr/onboarding,updateHrOnboardingPositionConfig,PUT,`/system/hr/onboarding/config/${id}`,/system/hr/onboarding/config/{id},erp-ui/src/api/hr/onboarding.js:18,待与后端/OpenAPI 核验
FEAPI-0102,hr/onboarding,disableHrOnboardingPositionConfig,POST,`/system/hr/onboarding/config/${id}/disable`,/system/hr/onboarding/config/{id}/disable,erp-ui/src/api/hr/onboarding.js:19,待与后端/OpenAPI 核验
FEAPI-0103,hr/onboarding,getHrOnboardingPositionConfigOptions,GET,"""/system/hr/onboarding/config/options""",/system/hr/onboarding/config/options,erp-ui/src/api/hr/onboarding.js:20,待与后端/OpenAPI 核验
FEAPI-0104,hr/onboarding,previewHrOnboardingImport,POST,"""/system/hr/onboarding/import/preview""",/system/hr/onboarding/import/preview,erp-ui/src/api/hr/onboarding.js:22,待与后端/OpenAPI 核验
FEAPI-0105,hr/onboarding,getHrOnboardingImportBatch,GET,`/system/hr/onboarding/import/${id}`,/system/hr/onboarding/import/{id},erp-ui/src/api/hr/onboarding.js:29,待与后端/OpenAPI 核验
FEAPI-0106,hr/onboarding,confirmHrOnboardingImport,POST,`/system/hr/onboarding/import/${id}/confirm`,/system/hr/onboarding/import/{id}/confirm,erp-ui/src/api/hr/onboarding.js:30,待与后端/OpenAPI 核验
FEAPI-0107,hr/onboarding,downloadHrOnboardingTemplate,GET,"""/system/hr/onboarding/import/template""",/system/hr/onboarding/import/template,erp-ui/src/api/hr/onboarding.js:31,待与后端/OpenAPI 核验
FEAPI-0108,hr/onboarding,downloadHrOnboardingErrorRows,GET,`/system/hr/onboarding/import/${id}/errors`,/system/hr/onboarding/import/{id}/errors,erp-ui/src/api/hr/onboarding.js:32,待与后端/OpenAPI 核验
FEAPI-0109,hr/team,listHrTeam,GET,'/system/hr/team/list',/system/hr/team/list,erp-ui/src/api/hr/team.js:4,待与后端/OpenAPI 核验
FEAPI-0110,hr/team,getHrTeamMember,GET,`/system/hr/team/${userId}`,/system/hr/team/{userId},erp-ui/src/api/hr/team.js:8,待与后端/OpenAPI 核验
FEAPI-0111,inventory/category,categoryTree,GET,'/inventory/category/tree',/inventory/category/tree,erp-ui/src/api/inventory/category.js:5,待与后端/OpenAPI 核验
FEAPI-0112,inventory/category,getCategory,GET,'/inventory/category/' + categoryId,/inventory/category/{categoryId},erp-ui/src/api/inventory/category.js:10,待与后端/OpenAPI 核验
FEAPI-0113,inventory/category,addCategory,POST,'/inventory/category',/inventory/category,erp-ui/src/api/inventory/category.js:15,待与后端/OpenAPI 核验
FEAPI-0114,inventory/category,updateCategory,POST,'/inventory/category/update',/inventory/category/update,erp-ui/src/api/inventory/category.js:20,待与后端/OpenAPI 核验
FEAPI-0115,inventory/category,delCategory,DELETE,'/inventory/category/' + categoryId,/inventory/category/{categoryId},erp-ui/src/api/inventory/category.js:25,待与后端/OpenAPI 核验
FEAPI-0116,inventory/customer,listCustomer,GET,'/inventory/customer/list',/inventory/customer/list,erp-ui/src/api/inventory/customer.js:5,待与后端/OpenAPI 核验
FEAPI-0117,inventory/customer,getCustomer,GET,'/inventory/customer/' + customerId,/inventory/customer/{customerId},erp-ui/src/api/inventory/customer.js:10,待与后端/OpenAPI 核验
FEAPI-0118,inventory/customer,addCustomer,POST,'/inventory/customer',/inventory/customer,erp-ui/src/api/inventory/customer.js:15,待与后端/OpenAPI 核验
FEAPI-0119,inventory/customer,updateCustomer,POST,'/inventory/customer/update',/inventory/customer/update,erp-ui/src/api/inventory/customer.js:20,待与后端/OpenAPI 核验
FEAPI-0120,inventory/customer,delCustomer,DELETE,'/inventory/customer/' + customerIds,/inventory/customer/{customerIds},erp-ui/src/api/inventory/customer.js:25,待与后端/OpenAPI 核验
FEAPI-0121,inventory/customer,listCustomerOptions,GET,'/inventory/customer/options',/inventory/customer/options,erp-ui/src/api/inventory/customer.js:29,待与后端/OpenAPI 核验
FEAPI-0122,inventory/customer,listCustomerServiceCards,GET,'/inventory/customer/service-card/list',/inventory/customer/service-card/list,erp-ui/src/api/inventory/customer.js:33,待与后端/OpenAPI 核验
FEAPI-0123,inventory/customer,listCustomerServiceAudits,GET,'/inventory/customer/service-card/audit',/inventory/customer/service-card/audit,erp-ui/src/api/inventory/customer.js:37,待与后端/OpenAPI 核验
FEAPI-0124,inventory/customer,getCustomerServiceCardOpsSummary,GET,'/inventory/customer/service-card/ops-summary',/inventory/customer/service-card/ops-summary,erp-ui/src/api/inventory/customer.js:41,待与后端/OpenAPI 核验
FEAPI-0125,inventory/customer,getCustomerServiceCard,GET,'/inventory/customer/service-card/' + customerId,/inventory/customer/service-card/{customerId},erp-ui/src/api/inventory/customer.js:45,待与后端/OpenAPI 核验
FEAPI-0126,inventory/customer,getCustomerServiceCardPhoto,GET,'/inventory/customer/service-card/' + customerId + '/photo',/inventory/customer/service-card/{customerId}/photo,erp-ui/src/api/inventory/customer.js:50,待与后端/OpenAPI 核验
FEAPI-0127,inventory/customer,createCustomerServiceCard,POST,'/inventory/customer/service-card',/inventory/customer/service-card,erp-ui/src/api/inventory/customer.js:60,待与后端/OpenAPI 核验
FEAPI-0128,inventory/customer,updateCustomerServiceCard,PUT,'/inventory/customer/service-card/' + customerId,/inventory/customer/service-card/{customerId},erp-ui/src/api/inventory/customer.js:64,待与后端/OpenAPI 核验
FEAPI-0129,inventory/customer,addCustomerServiceRecord,POST,'/inventory/customer/service-card/' + customerId + '/records',/inventory/customer/service-card/{customerId}/records,erp-ui/src/api/inventory/customer.js:68,待与后端/OpenAPI 核验
FEAPI-0130,inventory/customer,archiveCustomerServiceCard,POST,'/inventory/customer/service-card/' + customerId + '/archive',/inventory/customer/service-card/{customerId}/archive,erp-ui/src/api/inventory/customer.js:72,待与后端/OpenAPI 核验
FEAPI-0131,inventory/deliveryNotice,listDeliveryNotice,GET,'/inventory/deliveryNotice/list',/inventory/deliveryNotice/list,erp-ui/src/api/inventory/deliveryNotice.js:5,待与后端/OpenAPI 核验
FEAPI-0132,inventory/deliveryNotice,getDeliveryNotice,GET,'/inventory/deliveryNotice/' + noticeId,/inventory/deliveryNotice/{noticeId},erp-ui/src/api/inventory/deliveryNotice.js:10,待与后端/OpenAPI 核验
FEAPI-0133,inventory/deliveryNotice,createDeliveryNotice,POST,'/inventory/deliveryNotice/create/' + salesOrderId,/inventory/deliveryNotice/create/{salesOrderId},erp-ui/src/api/inventory/deliveryNotice.js:15,待与后端/OpenAPI 核验
FEAPI-0134,inventory/deliveryNotice,deliverDeliveryNotice,POST,'/inventory/deliveryNotice/deliver/' + noticeId,/inventory/deliveryNotice/deliver/{noticeId},erp-ui/src/api/inventory/deliveryNotice.js:20,待与后端/OpenAPI 核验
FEAPI-0135,inventory/deliveryNotice,cancelDeliveryNotice,DELETE,'/inventory/deliveryNotice/' + noticeId,/inventory/deliveryNotice/{noticeId},erp-ui/src/api/inventory/deliveryNotice.js:25,待与后端/OpenAPI 核验
FEAPI-0136,inventory/gift,listGift,GET,'/inventory/gift/list',/inventory/gift/list,erp-ui/src/api/inventory/gift.js:4,待与后端/OpenAPI 核验
FEAPI-0137,inventory/gift,getGift,GET,'/inventory/gift/' + giftId,/inventory/gift/{giftId},erp-ui/src/api/inventory/gift.js:8,待与后端/OpenAPI 核验
FEAPI-0138,inventory/gift,addGift,POST,'/inventory/gift',/inventory/gift,erp-ui/src/api/inventory/gift.js:12,待与后端/OpenAPI 核验
FEAPI-0139,inventory/gift,updateGift,POST,'/inventory/gift/update',/inventory/gift/update,erp-ui/src/api/inventory/gift.js:16,待与后端/OpenAPI 核验
