backend_api_id,module,controller,java_method,http_method,controller_path,external_path_candidate,permissions,idempotent_annotation,response_type,data_scope,source,openapi_status
BEAPI-0017,approval,ApprovalDefinitionController,draft,POST,/rules/{id}/drafts,/approval/rules/{id}/drafts,approval:template:edit,yes,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:101,待生成版本化 OpenAPI 基线
BEAPI-0018,approval,ApprovalDefinitionController,saveVersion,PUT,/versions/{id},/approval/versions/{id},approval:template:edit,yes,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:114,待生成版本化 OpenAPI 基线
BEAPI-0019,approval,ApprovalDefinitionController,publish,POST,/versions/{id}/publish,/approval/versions/{id}/publish,approval:template:publish,yes,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:126,待生成版本化 OpenAPI 基线
BEAPI-0020,approval,ApprovalDefinitionController,preview,POST,/versions/{id}/preview,/approval/versions/{id}/preview,approval:template:query,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:138,待生成版本化 OpenAPI 基线
BEAPI-0021,approval,ApprovalDefinitionController,disable,POST,/rules/{id}/disable,/approval/rules/{id}/disable,approval:template:edit,yes,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalDefinitionController.java:149,待生成版本化 OpenAPI 基线
BEAPI-0022,approval,ApprovalInternalController,start,POST,/inner/approval/instances/start,/approval/inner/approval/instances/start,未声明/公共接口,no,R<ApprovalStartResponse>,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalInternalController.java:36,待生成版本化 OpenAPI 基线
BEAPI-0023,approval,ApprovalInternalController,withdraw,POST,/inner/approval/instances/withdraw,/approval/inner/approval/instances/withdraw,未声明/公共接口,no,R<Boolean>,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalInternalController.java:44,待生成版本化 OpenAPI 基线
BEAPI-0024,approval,ApprovalInternalController,getInstance,GET,/inner/approval/instances/{instanceId},/approval/inner/approval/instances/{instanceId},未声明/公共接口,no,R<ApprovalInstanceSnapshot>,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalInternalController.java:52,待生成版本化 OpenAPI 基线
BEAPI-0025,approval,ApprovalInternalController,getServiceStatus,GET,/inner/approval/status,/approval/inner/approval/status,未声明/公共接口,no,R<ApprovalServiceStatus>,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalInternalController.java:60,待生成版本化 OpenAPI 基线
BEAPI-0026,approval,ApprovalLegacyController,templates,GET,/legacy/templates,/approval/legacy/templates,approval:instance:list,no,List<LegacyApprovalTemplateSummary>,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalLegacyController.java:29,待生成版本化 OpenAPI 基线
BEAPI-0027,approval,ApprovalLegacyController,instances,GET,/legacy/instances,/approval/legacy/instances,approval:instance:list,no,LegacyApprovalPage,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalLegacyController.java:36,待生成版本化 OpenAPI 基线
BEAPI-0028,approval,ApprovalLegacyController,detail,GET,/legacy/instances/{businessCode}/{legacyInstanceId},/approval/legacy/instances/{businessCode}/{legacyInstanceId},approval:instance:query,no,LegacyApprovalDetail,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalLegacyController.java:43,待生成版本化 OpenAPI 基线
BEAPI-0029,approval,ApprovalRuntimeController,list,GET,/instances,/approval/instances,approval:instance:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalRuntimeController.java:36,待生成版本化 OpenAPI 基线
BEAPI-0030,approval,ApprovalRuntimeController,detail,GET,/instances/{id},/approval/instances/{id},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalRuntimeController.java:44,待生成版本化 OpenAPI 基线
BEAPI-0031,approval,ApprovalRuntimeController,terminate,POST,/instances/{id}/terminate,/approval/instances/{id}/terminate,approval:instance:terminate,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalRuntimeController.java:52,待生成版本化 OpenAPI 基线
BEAPI-0032,approval,ApprovalTaskController,approve,POST,/tasks/{id}/approve,/approval/tasks/{id}/approve,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTaskController.java:29,待生成版本化 OpenAPI 基线
BEAPI-0033,approval,ApprovalTaskController,returnTask,POST,/tasks/{id}/return,/approval/tasks/{id}/return,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTaskController.java:38,待生成版本化 OpenAPI 基线
BEAPI-0034,approval,ApprovalTaskController,reject,POST,/tasks/{id}/reject,/approval/tasks/{id}/reject,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTaskController.java:47,待生成版本化 OpenAPI 基线
BEAPI-0035,approval,ApprovalTaskController,reassign,POST,/tasks/{id}/reassign,/approval/tasks/{id}/reassign,approval:task:reassign,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTaskController.java:56,待生成版本化 OpenAPI 基线
BEAPI-0036,approval,ApprovalTodoController,summary,GET,/todo/summary,/approval/todo/summary,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTodoController.java:29,待生成版本化 OpenAPI 基线
BEAPI-0037,approval,ApprovalTodoController,list,GET,/todo,/approval/todo,未声明/公共接口,no,TableDataInfo,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTodoController.java:37,待生成版本化 OpenAPI 基线
BEAPI-0038,approval,ApprovalTodoController,list,GET,/todo/list,/approval/todo/list,未声明/公共接口,no,TableDataInfo,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalTodoController.java:37,待生成版本化 OpenAPI 基线
BEAPI-0039,approval,ApprovalValidationController,runs,GET,/validation/runs,/approval/validation/runs,approval:validation:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalValidationController.java:36,待生成版本化 OpenAPI 基线
BEAPI-0040,approval,ApprovalValidationController,detail,GET,/validation/runs/{id},/approval/validation/runs/{id},approval:validation:list,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalValidationController.java:44,待生成版本化 OpenAPI 基线
BEAPI-0041,approval,ApprovalValidationController,run,POST,/validation/run,/approval/validation/run,approval:validation:run,no,AjaxResult,待逐接口核验,erp-modules/erp-approval/src/main/java/com/erp/approval/controller/ApprovalValidationController.java:51,待生成版本化 OpenAPI 基线
BEAPI-0042,file,SysFileController,upload,POST,/upload,/file/upload,未声明/公共接口,no,R<SysFile>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/controller/SysFileController.java:36,待生成版本化 OpenAPI 基线
BEAPI-0043,file,SysFileController,delete,DELETE,/delete,/file/delete,未声明/公共接口,no,R<Boolean>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/controller/SysFileController.java:60,待生成版本化 OpenAPI 基线
BEAPI-0044,file,DriveAdminController,capacity,GET,/drive/admin/quota/overview,/file/drive/admin/quota/overview,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:85,待生成版本化 OpenAPI 基线
BEAPI-0045,file,DriveAdminController,capacity,GET,/drive/admin/quota/capacity,/file/drive/admin/quota/capacity,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:85,待生成版本化 OpenAPI 基线
BEAPI-0046,file,DriveAdminController,status,GET,/drive/admin/status,/file/drive/admin/status,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:93,待生成版本化 OpenAPI 基线
BEAPI-0047,file,DriveAdminController,updateCapacity,PUT,/drive/admin/quota/capacity,/file/drive/admin/quota/capacity,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:115,待生成版本化 OpenAPI 基线
BEAPI-0048,file,DriveAdminController,policies,GET,/drive/admin/quota/personal-policies,/file/drive/admin/quota/personal-policies,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:131,待生成版本化 OpenAPI 基线
BEAPI-0049,file,DriveAdminController,posts,GET,/drive/admin/quota/posts,/file/drive/admin/quota/posts,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:139,待生成版本化 OpenAPI 基线
BEAPI-0050,file,DriveAdminController,savePolicy,PUT,/drive/admin/quota/personal-policies/{subjectType}/{subjectId},/file/drive/admin/quota/personal-policies/{subjectType}/{subjectId},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:147,待生成版本化 OpenAPI 基线
BEAPI-0051,file,DriveAdminController,deletePolicy,DELETE,/drive/admin/quota/personal-policies/{subjectType}/{subjectId},/file/drive/admin/quota/personal-policies/{subjectType}/{subjectId},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:165,待生成版本化 OpenAPI 基线
BEAPI-0052,file,DriveAdminController,users,GET,/drive/admin/quota/users,/file/drive/admin/quota/users,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:186,待生成版本化 OpenAPI 基线
BEAPI-0053,file,DriveAdminController,organizations,GET,/drive/admin/organizations,/file/drive/admin/organizations,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:216,待生成版本化 OpenAPI 基线
BEAPI-0054,file,DriveAdminController,organizationTypeRules,GET,/drive/admin/organizations/type-rules,/file/drive/admin/organizations/type-rules,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:224,待生成版本化 OpenAPI 基线
BEAPI-0055,file,DriveAdminController,saveOrganizationTypeRule,PUT,/drive/admin/organizations/type-rules/{deptType},/file/drive/admin/organizations/type-rules/{deptType},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:232,待生成版本化 OpenAPI 基线
BEAPI-0056,file,DriveAdminController,saveOrganizationBatch,POST,/drive/admin/organizations/batch,/file/drive/admin/organizations/batch,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:251,待生成版本化 OpenAPI 基线
BEAPI-0057,file,DriveAdminController,saveOrganization,PUT,/drive/admin/organizations/{deptId},/file/drive/admin/organizations/{deptId},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:269,待生成版本化 OpenAPI 基线
BEAPI-0058,file,DriveAdminController,impact,POST,/drive/admin/quota/impact,/file/drive/admin/quota/impact,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:286,待生成版本化 OpenAPI 基线
BEAPI-0059,file,DriveAdminController,reconcile,POST,/drive/admin/organizations/reconcile,/file/drive/admin/organizations/reconcile,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveAdminController.java:293,待生成版本化 OpenAPI 基线
BEAPI-0060,file,DriveBusinessContentController,validateBinding,GET,/drive/inner/nodes/{nodeId}/binding,/file/drive/inner/nodes/{nodeId}/binding,未声明/公共接口,no,R<DriveBusinessFile>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveBusinessContentController.java:52,待生成版本化 OpenAPI 基线
BEAPI-0061,file,DriveBusinessContentController,content,GET,/drive/inner/nodes/{nodeId}/content,/file/drive/inner/nodes/{nodeId}/content,未声明/公共接口,no,ResponseEntity<Resource>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveBusinessContentController.java:64,待生成版本化 OpenAPI 基线
BEAPI-0062,file,DriveContentController,content,GET,/drive/nodes/{nodeId}/content,/file/drive/nodes/{nodeId}/content,未声明/公共接口,no,ResponseEntity<Resource>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveContentController.java:48,待生成版本化 OpenAPI 基线
BEAPI-0063,file,DriveNodeController,list,GET,/drive/nodes,/file/drive/nodes,未声明/公共接口,no,TableDataInfo,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:64,待生成版本化 OpenAPI 基线
BEAPI-0064,file,DriveNodeController,detail,GET,/drive/nodes/{nodeId},/file/drive/nodes/{nodeId},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:81,待生成版本化 OpenAPI 基线
BEAPI-0065,file,DriveNodeController,createFolder,POST,/drive/folders,/file/drive/folders,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:90,待生成版本化 OpenAPI 基线
BEAPI-0066,file,DriveNodeController,upload,POST,/drive/files,/file/drive/files,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:99,待生成版本化 OpenAPI 基线
BEAPI-0067,file,DriveNodeController,rename,PUT,/drive/nodes/{nodeId}/name,/file/drive/nodes/{nodeId}/name,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:114,待生成版本化 OpenAPI 基线
BEAPI-0068,file,DriveNodeController,move,PUT,/drive/nodes/{nodeId}/move,/file/drive/nodes/{nodeId}/move,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:124,待生成版本化 OpenAPI 基线
BEAPI-0069,file,DriveNodeController,recent,GET,/drive/recent,/file/drive/recent,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:134,待生成版本化 OpenAPI 基线
BEAPI-0070,file,DriveNodeController,trash,DELETE,/drive/nodes/{nodeId},/file/drive/nodes/{nodeId},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:144,待生成版本化 OpenAPI 基线
BEAPI-0071,file,DriveNodeController,listTrash,GET,/drive/trash,/file/drive/trash,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:155,待生成版本化 OpenAPI 基线
BEAPI-0072,file,DriveNodeController,restore,POST,/drive/trash/{trashRootId}/restore,/file/drive/trash/{trashRootId}/restore,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:164,待生成版本化 OpenAPI 基线
BEAPI-0073,file,DriveNodeController,purge,DELETE,/drive/trash/{trashRootId},/file/drive/trash/{trashRootId},未声明/公共接口,no,ResponseEntity<AjaxResult>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:178,待生成版本化 OpenAPI 基线
BEAPI-0074,file,DriveNodeController,emptyTrash,DELETE,/drive/trash,/file/drive/trash,未声明/公共接口,no,ResponseEntity<AjaxResult>,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveNodeController.java:191,待生成版本化 OpenAPI 基线
BEAPI-0075,file,DriveSpaceController,spaces,GET,/drive/spaces,/file/drive/spaces,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveSpaceController.java:37,待生成版本化 OpenAPI 基线
BEAPI-0076,file,DriveSpaceController,updateQuota,PUT,/drive/spaces/{spaceId}/quota,/file/drive/spaces/{spaceId}/quota,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-file/src/main/java/com/erp/file/drive/controller/DriveSpaceController.java:46,待生成版本化 OpenAPI 基线
BEAPI-0077,gen,GenController,genList,GET,/gen/list,/code/gen/list,tool:gen:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:53,待生成版本化 OpenAPI 基线
BEAPI-0078,gen,GenController,getInfo,GET,/gen/{tableId},/code/gen/{tableId},tool:gen:query,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:65,待生成版本化 OpenAPI 基线
BEAPI-0079,gen,GenController,dataList,GET,/gen/db/list,/code/gen/db/list,tool:gen:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:82,待生成版本化 OpenAPI 基线
BEAPI-0080,gen,GenController,columnList,GET,/gen/column/{tableId},/code/gen/column/{tableId},tool:gen:query,no,TableDataInfo,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:94,待生成版本化 OpenAPI 基线
BEAPI-0081,gen,GenController,importTableSave,POST,/gen/importTable,/code/gen/importTable,tool:gen:import,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:109,待生成版本化 OpenAPI 基线
BEAPI-0082,gen,GenController,editSave,PUT,/gen,/code/gen,tool:gen:edit,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:124,待生成版本化 OpenAPI 基线
BEAPI-0083,gen,GenController,remove,DELETE,/gen/{tableIds},/code/gen/{tableIds},tool:gen:remove,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:137,待生成版本化 OpenAPI 基线
BEAPI-0084,gen,GenController,preview,GET,/gen/preview/{tableId},/code/gen/preview/{tableId},tool:gen:preview,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:148,待生成版本化 OpenAPI 基线
BEAPI-0085,gen,GenController,download,GET,/gen/download/{tableName},/code/gen/download/{tableName},tool:gen:code,no,void,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:160,待生成版本化 OpenAPI 基线
BEAPI-0086,gen,GenController,genCode,GET,/gen/genCode/{tableName},/code/gen/genCode/{tableName},tool:gen:code,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:172,待生成版本化 OpenAPI 基线
BEAPI-0087,gen,GenController,synchDb,GET,/gen/synchDb/{tableName},/code/gen/synchDb/{tableName},tool:gen:edit,no,AjaxResult,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:188,待生成版本化 OpenAPI 基线
BEAPI-0088,gen,GenController,batchGenCode,GET,/gen/batchGenCode,/code/gen/batchGenCode,tool:gen:code,no,void,待逐接口核验,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:200,待生成版本化 OpenAPI 基线
BEAPI-0089,inventory,InvCustomerController,options,GET,/customer/options,/inventory/customer/options,inv:customer:option,no,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:63,待生成版本化 OpenAPI 基线
BEAPI-0090,inventory,InvCustomerController,serviceCardList,GET,/customer/service-card/list,/inventory/customer/service-card/list,未声明/公共接口,no,TableDataInfo,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:72,待生成版本化 OpenAPI 基线
BEAPI-0091,inventory,InvCustomerController,serviceCardAudit,GET,/customer/service-card/audit,/inventory/customer/service-card/audit,未声明/公共接口,no,TableDataInfo,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:82,待生成版本化 OpenAPI 基线
BEAPI-0092,inventory,InvCustomerController,serviceCardOpsSummary,GET,/customer/service-card/ops-summary,/inventory/customer/service-card/ops-summary,未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:93,待生成版本化 OpenAPI 基线
BEAPI-0093,inventory,InvCustomerController,serviceCard,GET,/customer/service-card/{customerId},/inventory/customer/service-card/{customerId},未声明/公共接口,no,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:101,待生成版本化 OpenAPI 基线
BEAPI-0094,inventory,InvCustomerController,serviceCardPhoto,GET,/customer/service-card/{customerId}/photo,/inventory/customer/service-card/{customerId}/photo,未声明/公共接口,no,ResponseEntity<StreamingResponseBody>,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:110,待生成版本化 OpenAPI 基线
BEAPI-0095,inventory,InvCustomerController,createServiceCard,POST,/customer/service-card,/inventory/customer/service-card,未声明/公共接口,yes,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:126,待生成版本化 OpenAPI 基线
BEAPI-0096,inventory,InvCustomerController,updateServiceCard,PUT,/customer/service-card/{customerId},/inventory/customer/service-card/{customerId},未声明/公共接口,yes,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:137,待生成版本化 OpenAPI 基线
BEAPI-0097,inventory,InvCustomerController,addServiceRecord,POST,/customer/service-card/{customerId}/records,/inventory/customer/service-card/{customerId}/records,未声明/公共接口,yes,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:149,待生成版本化 OpenAPI 基线
BEAPI-0098,inventory,InvCustomerController,archiveServiceCard,POST,/customer/service-card/{customerId}/archive,/inventory/customer/service-card/{customerId}/archive,未声明/公共接口,yes,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:161,待生成版本化 OpenAPI 基线
BEAPI-0099,inventory,InvCustomerController,list,GET,/customer/list,/inventory/customer/list,inv:customer:list,no,TableDataInfo,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:170,待生成版本化 OpenAPI 基线
BEAPI-0100,inventory,InvCustomerController,getInfo,GET,/customer/{customerId},/inventory/customer/{customerId},inv:customer:query,no,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:180,待生成版本化 OpenAPI 基线
BEAPI-0101,inventory,InvCustomerController,add,POST,/customer,/inventory/customer,inv:customer:add,yes,AjaxResult,待逐接口核验,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:190,待生成版本化 OpenAPI 基线
